priority,arrival_time,removal_time,clicked,sender_package,sender_app_name,phone_status,ringer_mode,interruption_filter,filter_cleared,led,vibrate,sound,latitude,longitude,activity,surrounding_sound,wifi,proximity,something
-1,1423261387703,1423261399122,true,com.android.vending,Google Play Store,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
-1,1423261454146,1423261466351,false,com.android.vending,Google Play Store,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
-1,1423261568140,1423261581936,false,com.android.vending,Google Play Store,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
-1,1423261630203,1423261637357,false,com.android.vending,Google Play Store,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
-1,1423261664557,1423261675882,false,com.android.vending,Google Play Store,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
-1,1423261711456,1423261723620,false,com.android.vending,Google Play Store,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
1,1423262377821,1423262379551,true,com.facebook.orca,Messenger,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423262591784,1423262594039,false,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,true,false,0,0,0,still,SILENT,true,false
1,1423262662556,1423262665978,true,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,true,false,0,0,0,still,SILENT,true,false
1,1423262383806,1423263113884,true,com.facebook.orca,Messenger,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
0,1423263162712,1423263169886,false,com.ideashower.readitlater.pro,Pocket,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
1,1423264122892,1423264140644,true,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,unknown,SILENT,true,false
1,1423264062908,1423264140644,true,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,tilting,SILENT,true,false
1,1423263966680,1423264140644,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,true,false,0,0,0,in_vehicle,SILENT,true,false
1,1423263776396,1423264140644,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,unknown,SILENT,true,false
1,1423263709358,1423264140644,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423263594886,1423264140644,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,true,false,0,0,0,still,SILENT,true,false
1,1423264156534,1423264161709,false,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,true,false,0,0,0,tilting,SILENT,true,false
1,1423264571138,1423264582928,false,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,unknown,SILENT,true,false
1,1423264563582,1423264582928,false,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,unknown,SILENT,true,false
1,1423264553232,1423264582928,false,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,unknown,SILENT,true,false
1,1423264545651,1423264582928,false,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,unknown,SILENT,true,false
1,1423264538577,1423264582928,false,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,unknown,SILENT,true,false
1,1423264534447,1423264582928,false,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,unknown,SILENT,true,false
1,1423264525001,1423264582928,false,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,unknown,SILENT,true,false
1,1423264520703,1423264582928,false,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,unknown,SILENT,true,false
1,1423264515782,1423264582928,false,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,unknown,SILENT,true,false
1,1423264512341,1423264582928,false,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,unknown,SILENT,true,false
1,1423264508130,1423264582928,false,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,unknown,SILENT,true,false
1,1423264501969,1423264582928,false,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
0,1423264130970,1423264582982,false,com.google.android.gm,Gmail,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,true,0,0,0,unknown,SILENT,true,false
-1,1423261723538,1423264583028,false,com.android.vending,Google Play Store,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
-1,1423261675829,1423264583077,false,com.android.vending,Google Play Store,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
-1,1423261637248,1423264583125,false,com.android.vending,Google Play Store,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
-1,1423261581827,1423264583175,false,com.android.vending,Google Play Store,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
-1,1423261466315,1423264583234,false,com.android.vending,Google Play Store,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
-1,1423261399070,1423264583275,false,com.android.vending,Google Play Store,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
1,1423264682368,1423264695569,true,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,true,false,0,0,0,still,SILENT,true,false
1,1423264717814,1423264718959,false,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,true,false,0,0,0,still,SILENT,true,false
1,1423264713223,1423264718959,false,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
1,1423264707982,1423264718959,false,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,true,false,0,0,0,still,SILENT,true,false
1,1423264608793,1423264718959,false,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,in_vehicle,SILENT,true,false
1,1423264606885,1423264718959,false,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,in_vehicle,SILENT,true,false
1,1423264605095,1423264718959,false,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,in_vehicle,SILENT,true,false
1,1423264992939,1423265044486,true,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,true,false,0,0,0,still,SILENT,true,false
1,1423264767826,1423265044486,true,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,true,false,0,0,0,still,SILENT,true,false
0,1423265205220,1423265213653,false,com.google.android.gm,Gmail,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,true,0,0,0,tilting,SILENT,true,false
1,1423265299045,1423265306366,true,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,tilting,SILENT,true,false
1,1423265102125,1423265306366,true,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,unknown,SILENT,true,false
0,1423265260534,1423265345787,true,com.google.android.gm,Gmail,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,true,0,0,0,still,SILENT,true,false
1,1423265920115,1423265980793,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423265876230,1423265980793,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423265868636,1423265980793,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423265846539,1423265980793,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423265838139,1423265980793,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423265834184,1423265980793,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423265830243,1423265980793,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423265818205,1423265980793,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423265803404,1423265980793,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423265800112,1423265980793,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423265762913,1423265980793,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423265757756,1423265980793,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423265753995,1423265980793,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423265719587,1423265980793,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423265706706,1423265980793,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423265959676,1423266017979,true,org.telegram.messenger,Telegram,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,true,true,0,0,0,still,SILENT,true,false
1,1423270982546,1423270993361,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423270946292,1423270993361,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423270944074,1423270993361,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423270936201,1423270993361,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423270912999,1423270993361,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
