@relation Bruno_Grisci_notifications

@attribute priority numeric
@attribute arrival_time numeric
@attribute removal_time numeric
@attribute clicked {true,false}
@attribute sender_package {com.android.vending,com.facebook.orca,com.whatsapp,com.ideashower.readitlater.pro,com.google.android.gm,org.telegram.messenger,com.facebook.katana,com.skype.raider,com.nsds.notifyme,com.twitter.android,android,com.google.android.apps.plus,com.android.deskclock,com.google.android.youtube,com.android.systemui,com.android.shell,com.google.android.googlequicksearchbox,com.bruno.magicmap,com.motorola.contextual.smartrules2}
@attribute sender_app_name {'Google Play Store',Messenger,WhatsApp,Pocket,Gmail,Telegram,Facebook,Skype,NotifyMe,Twitter,'Android system',Google+,Clock,YouTube,'System UI',Shell,'Google App','Magic Map',Assist}
@attribute phone_status {UNLOCKED,LOCKED}
@attribute ringer_mode {SOUND,VIBRATE,SILENT}
@attribute interruption_filter {INTERRUPTION_FILTER_ALL}
@attribute filter_cleared {true}
@attribute led {false,true}
@attribute vibrate {false,true}
@attribute sound {false,true}
@attribute latitude numeric
@attribute longitude numeric
@attribute activity numeric
@attribute surrounding_sound {still,unknown,tilting,in_vehicle,on_bicycle,on_foot}
@attribute wifi {SILENT,unknow,SPEAKING}
@attribute proximity {true,false}
@attribute something {false}

@data
-1,1423261387703.000064,1423261399121.999872,true,com.android.vending,'Google Play Store',UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
-1,1423261454145.999872,1423261466351.000064,false,com.android.vending,'Google Play Store',UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
-1,1423261568140,1423261581936,false,com.android.vending,'Google Play Store',UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
-1,1423261630203.000064,1423261637356.999936,false,com.android.vending,'Google Play Store',UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
-1,1423261664556.999936,1423261675881.999872,false,com.android.vending,'Google Play Store',UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
-1,1423261711456,1423261723620,false,com.android.vending,'Google Play Store',UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
1,1423262377820.999936,1423262379551.000064,true,com.facebook.orca,Messenger,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
1,1423262591784,1423262594039.000064,false,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,true,false,0,0,0,still,SILENT,true,false
1,1423262662556,1423262665977.999872,true,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,true,false,0,0,0,still,SILENT,true,false
1,1423262383806.000128,1423263113884,true,com.facebook.orca,Messenger,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,false,false,0,0,0,still,SILENT,true,false
0,1423263162712,1423263169886.000128,false,com.ideashower.readitlater.pro,Pocket,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,still,SILENT,true,false
1,1423264122892,1423264140644,true,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,unknown,SILENT,true,false
1,1423264062908,1423264140644,true,com.whatsapp,WhatsApp,UNLOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,false,false,false,0,0,0,tilting,SILENT,true,false
1,1423263966680,1423264140644,true,com.whatsapp,WhatsApp,LOCKED,SOUND,INTERRUPTION_FILTER_ALL,true,true,true,false,0,0,0,in_vehicle,SILENT,true,false
